# INFO_GERAL: VII RALLY MINAS BRASIL 17/05/2025 - 16:43:14 | Campeonato Brasileiro de Rally Raid 2025 Resultados Oficiais | ACUMULADO ATÉ DIA 3: Araxa/MG - (525.85km) Geral Motos

POS;PILOTO_INFO;CAT;DIA 1;DIA 2;DIA 3;NO;COLUNA_4;COLUNA_8;COLUNA_11;COLUNA_13;TOTAL DIF.LIDER DIF.ANTERIOR;TEMPO;PENAL
1;"GABRIEL SOARES
Yamaha WR 450F
Yamaha Ims Rally Team";(1)MT1;"02:24:11.92
(1)";"02:00:24.93
(3)";"02:17:28.30
(1)";4;;;;;06:42:05.15;06:42:05.15;"* * *
* * *"
2;"BRUNO CRIVILIN
Honda CRF 450 RX
Honda Racing";(1)MT2;"02:28:09.01
(4)";"02:00:02.60
(2)";"02:18:36.99
(3)";11;;;;;"06:46:48.60
00:04:43.45";06:42:48.60;"00:04:00.00
* * *"
3;"MARTIN DUPLESSIS
Honda CRF 450 RX
Honda Racing";(2)MT1;"02:26:41.82
(2)";"02:01:08.53
(4)";"02:30:41.95
(6)";3;;;;;"06:58:32.30
00:16:27.15
00:11:43.70";06:58:32.30;"* * *
* * *"
4;"ROMAIN DUMONTIER
Honda CRF 450 RX
Honda Racing";(3)MT1;"02:41:03.48
(8)";"02:04:45.47
(6)";"02:18:01.98
(2)";23;;;;;"07:03:50.93
00:21:45.78
00:05:18.63";06:58:50.93;"00:05:00.00
* * *"
5;"TIAGO WERNERSBACH
Honda CRF 450 RX
Honda Racing";(1)MT3;"02:31:08.58
(5)";"02:03:42.13
(5)";"02:29:27.86
(4)";7;;;;;"07:04:18.57
00:22:13.42
00:00:27.64";07:04:18.57;"* * *
* * *"
6;"GABRIEL BRUNING
Yamaha WR 450F
Yamaha Ims Rally Team";(2)MT2;"02:26:58.84
(3)";"01:59:53.29
(1)";"02:50:26.78
(17)";5;;;;;"07:17:18.91
00:35:13.76
00:13:00.34";07:14:18.91;"00:03:00.00
* * *"
7;"RICARDO MARTINS
Yamaha Tenere 700 Rally
Yamaha Ims Rally Team";(1)MOV;"02:37:14.77
(6)";"02:11:00.99
(7)";"02:29:40.22
(5)";6;;;;;"07:17:55.98
00:35:50.83
00:00:37.07";07:17:55.98;"* * *
* * *"
8;"BRUNO LELES
Yamaha WR 450F
Use Motos Rally Team";(3)MT2;"02:40:10.35
(7)";"02:14:56.41
(8)";"02:36:18.89
(8)";26;;;;;"07:31:25.65
00:49:20.50
00:13:29.67";07:30:10.65;"00:01:15.00
* * *"
9;"LUCIANO GOMES
Yamaha WR 450F
Yamaha Ims Rally Team";(2)MOV;"02:50:36.44
(9)";"02:20:03.66
(9)";"02:33:54.31
(7)";8;;;;;"07:44:34.41
01:02:29.26
00:13:08.76";07:39:34.41;"00:05:00.00
* * *"
10;"FLAVIANO TIEPO
Yamaha WR 450F
Yamaha Ims Rally Team";(2)MT3;"03:06:28.40
(14)";"02:23:00.11
(11)";"02:44:07.83
(11)";37;;;;;"08:13:36.34
01:31:31.19
00:29:01.93";07:55:36.34;"00:18:00.00
* * *"
11;"MAICON CEBEU
Yamaha WR 450F
100% Amigos Rally Team";(3)MT3;"03:07:17.64
(16)";"02:24:32.35
(12)";"02:42:58.09
(10)";27;;;;;"08:14:48.08
01:32:42.93
00:01:11.74";08:09:51.08;"00:04:57.00
* * *"
12;"JOAO TORRES
GasGas EC 500 F
Mult Racing";(4)MT1;"03:04:58.04
(12)";"02:26:29.06
(13)";"02:44:42.85
(12)";28;;;;;"08:16:09.95
01:34:04.80
00:01:21.87";08:12:09.95;"00:04:00.00
* * *"
13;"BRUNO AGUILERA
GasGas EC 500 F
Bianchini Rally";(4)MT2;"03:19:33.22
(19)";"02:22:19.17
(10)";"02:40:16.21
(9)";22;;;;;"08:22:08.60
01:40:03.45
00:05:58.65";08:06:29.60;"00:15:39.00
* * *"
14;"JEAN ZUCHELLI
Honda CRF 450 RX
Pequi Rancing";(4)MT3;"03:07:14.95
(15)";"02:30:14.10
(16)";08:23:54.11;33;;"02:46:25.06
(13)";"08:23:54.11
01:41:48.96
00:01:45.51";;;"* * *
* * *";
15;"THIAGO OSTORERO
GasGas EC 500 F
Bianchini Rally";(5)MT2;"03:00:42.39
(11)";"02:35:21.11
(18)";08:24:05.75;21;;"02:48:02.25
(14)";"08:24:05.75
01:42:00.60
00:00:11.64";;;"* * *
* * *";
16;"RODRIGO SALLUM
KTM Rally Replica
Lubmix";(5)MT1;"03:00:22.75
(10)";"02:32:51.90
(17)";08:17:58.97;29;;"02:51:44.32
(18)";"08:24:58.97
01:42:53.82
00:00:53.22";;;"00:07:00.00
* * *";
17;"MOARA SACILOTTI
Kawasaki KX450X
Podium Racing";(3)MOV;"03:05:06.45
(13)";"02:36:23.87
(19)";08:34:47.18;25;;"02:55:16.86
(19)";"08:36:47.18
01:54:42.03
00:11:48.21";;;"00:02:00.00
* * *";
18;"ITACIR RABAIOLLI
Kawasaki KX450X
Pequi Racing";(5)MT3;"03:40:10.00
(20)";"02:28:08.76
(15)";08:23:40.98;35;;"02:49:02.22
(15)";"08:57:20.98
02:15:15.83
00:20:33.80";;;"00:33:40.00
* * *";
19;"JOAO GHISLENI
Honda CRF 450 RX
Pequi Racing";(6)MT3;"03:17:21.07
(18)";"02:49:44.68
(21)";08:55:55.60;34;;"02:50:19.85
(16)";"08:57:25.60
02:15:20.45
00:00:04.62";;;"00:01:30.00
* * *";
20;"CLAUDERSON LOPES
Honda CRF 450 RX
Pequi Racing";(4)MOV;"03:56:14.00
(21)";"03:00:53.86
(22)";09:05:18.62;32;;"03:42:06.76
(20)";"10:39:14.62
03:57:09.47
01:41:49.02";;;"01:33:56.00
* * *";
21;"RAFAEL GAERTNER
Yamaha WR 450F
Durag Factory Racing";(5)MOV;"03:07:26.83
(17)";"02:27:34.60
(14)";08:50:01.43;36;;"06:50:00.00
(21)";"12:25:01.43
05:42:56.28
01:45:46.81";;;"03:35:00.00
* * *";
22;"ADRIANO GALANTE
Ducati Desert X
Ducati Rideoff";(6)MOV;"04:21:30.00
(22)";"02:48:16.20
(20)";09:26:25.20;30;;"10:40:00.00
(22)";"17:49:46.20
11:07:41.05
05:24:44.77";;;"08:23:21.00
* * *";
23;"LUIZ MENUZZO
GasGas EC 500 F
Bianchini Rally";(7)MOV;"07:05:00.00
(23)";"10:30:00.00
(23)";09:50:00.00;20;;"10:40:00.00
(22)";"28:15:00.00
21:32:54.85
10:25:13.80";;;"18:25:00.00
* * *";
