# INFO_GERAL: XI RALLY JALAPAO 20/06/2025 - 09:17:06 | Campeonato Brasileiro de Rally Raid 2025 Resultados Oficiais | ACUMULADO ATÉ Dia 4: Sao Felix do Tocantins/TO - Palmas/TO (740.36km) Geral - Motos

POS;PILOTO_INFO;CAT;DIA 1;DIA 2;DIA 3;DIA 4;NO;COLUNA_4;COLUNA_5;COLUNA_10;COLUNA_12;COLUNA_15;TOTAL DIF.LIDER DIF.ANTERIOR;COLUNA_9;COLUNA_14;TEMPO;PENAL
1;"GABRIEL SOARES (MG)
Yamaha WR 450F
Yamaha Ims Rally Team";(1)MT1;"02:49:57.65
(1)";"02:10:45.02
(1)";"01:58:41.30
(1)";"01:34:01.83
(6)";4;;;;;;08:33:25.80;;;08:33:04.80;"00:00:21.00
* * *"
2;"GABRIEL BRUNING (SC)
Yamaha WR 450F
Yamaha Ims Rally Team";(1)MT2;"02:51:40.21
(4)";"02:13:46.53
(3)";"01:59:56.56
(2)";"01:31:19.11
(4)";5;;;;;;"08:36:42.41
00:03:16.61";;;08:36:42.41;"* * *
* * *"
3;"TIAGO WERNERSBACH (ES)
Honda CRF 450RX
Honda Racing";(1)MT3;"02:56:18.43
(5)";"02:14:29.46
(4)";"02:02:50.13
(4)";"01:28:27.07
(1)";7;;;;;;"08:42:05.09
00:08:39.29
00:05:22.68";;;08:38:56.09;"00:03:09.00
* * *"
4;"ROMAIN DUMONTIER (FRA)
Honda CRF 450RX
Honda Racing";(2)MT1;"02:50:34.49
(2)";"02:13:13.83
(2)";"02:06:16.93
(5)";"01:33:02.38
(5)";23;;;;;;"08:43:07.63
00:09:41.83
00:01:02.54";;;08:32:07.63;"00:11:00.00
* * *"
5;"BRUNO CRIVILIN (ES)
Honda CRF 450RX
Honda Racing";(2)MT2;"02:58:02.08
(6)";"02:18:51.49
(5)";"02:06:47.31
(6)";"01:29:23.46
(2)";11;;;;;;"08:53:04.34
00:19:38.54
00:09:56.71";;;08:39:58.34;"00:13:06.00
* * *"
6;"JOAO TORRES (SP)
Gas Gas EC 500F
T+A Rally Team";(3)MT1;"03:03:00.18
(7)";"02:26:13.86
(7)";"02:18:02.14
(7)";"01:37:27.88
(7)";28;;;;;;"09:24:44.06
00:51:18.26
00:31:39.72";;;09:22:26.06;"00:02:18.00
* * *"
7;"RICARDO MARTINS (SC)
Yamaha Tenere T7
Yamaha Ims Rally Team";(1)MOV;"03:08:05.53
(8)";"02:23:02.03
(6)";"02:18:58.52
(8)";"01:42:05.21
(8)";6;;;;;;"09:32:11.29
00:58:45.49
00:07:27.23";;;09:25:05.29;"00:07:06.00
* * *"
8;"LUCIANO GOMES (SC)
Yamaha WR 450F
Yamaha Ims Rally Team";(2)MOV;"03:09:12.12
(9)";"02:33:30.11
(8)";"02:23:07.36
(9)";"01:47:50.21
(9)";8;;;;;;"09:53:39.80
01:20:14.00
00:21:28.51";;;09:53:39.80;"* * *
* * *"
9;"MARCELO MEDEIROS (MA)
KTM EXC 450
Meds Racing";(3)MT2;"03:14:31.31
(10)";"02:41:35.87
(10)";"02:31:37.83
(11)";"01:49:29.76
(10)";29;;;;;;"10:17:14.77
01:43:48.97
00:23:34.97";;;10:14:59.77;"00:02:15.00
* * *"
10;"MOISES MARK (TO)
KTM EXC 450
Aparecida Extreme";(2)MT3;"03:25:43.67
(12)";"02:37:36.76
(9)";"02:34:15.24
(12)";"01:52:34.07
(11)";26;;;;;;"10:30:09.74
01:56:43.94
00:12:54.97";;;10:15:24.74;"00:14:45.00
* * *"
11;"FLAVIANO TIEPO (SC)
Yamaha WR 450F
Yamaha Ims Rally Team";(3)MT3;"03:22:59.72
(11)";"02:44:43.51
(12)";"02:47:23.27
(13)";"02:08:49.41
(13)";21;;;;;;"11:03:55.91
02:30:30.11
00:33:46.17";;;10:57:28.91;"00:06:27.00
* * *"
12;"MOARA SACILOTTI (SP)
Kawasaki KX 450X
Sacilotti Rally";(3)MOV;"03:26:24.24
(13)";"03:05:43.49
(13)";"02:53:24.16
(14)";"02:19:17.10
(14)";25;;;;;;"11:44:48.99
03:11:23.19
00:40:53.08";;;11:44:48.99;"* * *
* * *"
13;"MARTIN DUPLESSIS (ARG)
Honda CRF 450RX
Honda Racing";(4)MT1;"02:51:16.92
(3)";"08:10:00.00
(14)";"02:02:46.78
(3)";"01:29:39.72
(3)";3;;;;;;"14:33:43.42
06:00:17.62
02:48:54.43";;;10:01:43.42;"04:32:00.00
* * *"
14;"HENILTON ROQUE (TO)
Honda CRF 450RX
Aparecida Extreme";(4)MT2;"08:25:00.00
(14)";"02:41:46.05
(11)";"02:30:24.46
(10)";"01:55:42.31
(12)";30;;;;;;"15:32:52.82
06:59:27.02
00:59:09.40";;;11:41:52.82;"03:51:00.00
* * *"
15;"ADRIEN METGE (FRA)
Yamaha WR 450F
Yamaha Ims Rally Team";(5)MT1;"09:10:00.00
(15)";"12:00:00.00
(15)";"11:50:00.00
(15)";"10:20:00.00
(15)";1;;;;;;"43:20:00.00
34:46:34.20
27:47:07.18";;;15:50:00.00;"27:30:00.00
* * *"
1;"GABRIEL SOARES (MG)
Yamaha WR 450F
Yamaha Ims Rally Team";;"02:49:57.65
(1)";"02:10:45.02
(1)";"01:58:41.30
(1)";"01:34:01.83
(3)";4;;;;;;08:33:25.80;;;08:33:04.80;"00:00:21.00
* * *"
2;"ROMAIN DUMONTIER (FRA)
Honda CRF 450RX
Honda Racing";;"02:50:34.49
(2)";"02:13:13.83
(2)";"02:06:16.93
(3)";"01:33:02.38
(2)";23;;;;;;"08:43:07.63
00:09:41.83";;;08:32:07.63;"00:11:00.00
* * *"
3;"JOAO TORRES (SP)
Gas Gas EC 500F
T+A Rally Team";;"03:03:00.18
(4)";"02:26:13.86
(3)";"02:18:02.14
(4)";"01:37:27.88
(4)";28;;;;;;"09:24:44.06
00:51:18.26
00:41:36.43";;;09:22:26.06;"00:02:18.00
* * *"
4;"MARTIN DUPLESSIS (ARG)
Honda CRF 450RX
Honda Racing";;"02:51:16.92
(3)";"08:10:00.00
(4)";"02:02:46.78
(2)";"01:29:39.72
(1)";3;;;;;;"14:33:43.42
06:00:17.62
05:08:59.36";;;10:01:43.42;"04:32:00.00
* * *"
5;"ADRIEN METGE (FRA)
Yamaha WR 450F
Yamaha Ims Rally Team";;"09:10:00.00
(5)";"12:00:00.00
(5)";"11:50:00.00
(5)";"10:20:00.00
(5)";1;;;;;;"43:20:00.00
34:46:34.20
28:46:16.58";;;15:50:00.00;"27:30:00.00
* * *"
1;"GABRIEL BRUNING (SC)
Yamaha WR 450F
Yamaha Ims Rally Team";;"02:51:40.21
(1)";"02:13:46.53
(1)";"01:59:56.56
(1)";"01:31:19.11
(2)";5;;;;;;08:36:42.41;;;08:36:42.41;"* * *
* * *"
2;"BRUNO CRIVILIN (ES)
Honda CRF 450RX
Honda Racing";;"02:58:02.08
(2)";"02:18:51.49
(2)";"02:06:47.31
(2)";"01:29:23.46
(1)";11;;;;;;"08:53:04.34
00:16:21.93";;;08:39:58.34;"00:13:06.00
* * *"
3;"MARCELO MEDEIROS (MA)
KTM EXC 450
Meds Racing";;"03:14:31.31
(3)";"02:41:35.87
(3)";"02:31:37.83
(4)";"01:49:29.76
(3)";29;;;;;;"10:17:14.77
01:40:32.36
01:24:10.43";;;10:14:59.77;"00:02:15.00
* * *"
4;"HENILTON ROQUE (TO)
Honda CRF 450RX
Aparecida Extreme";;"08:25:00.00
(4)";"02:41:46.05
(4)";"02:30:24.46
(3)";"01:55:42.31
(4)";30;;;;;;"15:32:52.82
06:56:10.41
05:15:38.05";;;11:41:52.82;"03:51:00.00
* * *"
1;"TIAGO WERNERSBACH (ES)
Honda CRF 450RX
Honda Racing";;"02:56:18.43
(1)";"02:14:29.46
(1)";"02:02:50.13
(1)";"01:28:27.07
(1)";7;;;;;;08:42:05.09;;;08:38:56.09;"00:03:09.00
* * *"
2;"MOISES MARK (TO)
KTM EXC 450
Aparecida Extreme";;"03:25:43.67
(3)";"02:37:36.76
(2)";"02:34:15.24
(2)";"01:52:34.07
(2)";26;;;;;;"10:30:09.74
01:48:04.65";;;10:15:24.74;"00:14:45.00
* * *"
3;"FLAVIANO TIEPO (SC)
Yamaha WR 450F
Yamaha Ims Rally Team";;"03:22:59.72
(2)";"02:44:43.51
(3)";"02:47:23.27
(3)";"02:08:49.41
(3)";21;;;;;;"11:03:55.91
02:21:50.82
00:33:46.17";;;10:57:28.91;"00:06:27.00
* * *"
1;"RICARDO MARTINS (SC)
Yamaha Tenere T7
Yamaha Ims Rally Team";;"03:08:05.53
(1)";"02:23:02.03
(1)";"02:18:58.52
(1)";"01:42:05.21
(1)";6;;;;;;09:32:11.29;;;09:25:05.29;"00:07:06.00
* * *"
2;"LUCIANO GOMES (SC)
Yamaha WR 450F
Yamaha Ims Rally Team";;"03:09:12.12
(2)";"02:33:30.11
(2)";"02:23:07.36
(2)";"01:47:50.21
(2)";8;;;;;;"09:53:39.80
00:21:28.51";;;09:53:39.80;"* * *
* * *"
3;"MOARA SACILOTTI (SP)
Kawasaki KX 450X
Sacilotti Rally";;"03:26:24.24
(3)";"03:05:43.49
(3)";"02:53:24.16
(3)";"02:19:17.10
(3)";25;;;;;;"11:44:48.99
02:12:37.70
01:51:09.19";;;11:44:48.99;"* * *
* * *"
1;"HELIO PESSOA (CE)
Yamaha Raptor 700
Fifth Avenue Racing";;"06:42:09.00
(1)";"03:28:04.00
(1)";"03:11:28.96
(1)";"02:26:31.66
(1)";35;;;;;;15:48:13.62;;;13:44:19.62;"02:03:54.00
* * *"
